"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000112624",0.464138400501718,-0.638649876592622,0.021,0.018,1
"ENSG00000150782",0.466067309110571,-0.178648026552547,0.086,0.081,1
"ENSG00000234031",0.467170939949543,-0.238530058891516,0.036,0.039,1
"ENSG00000173575",0.467239507980593,-0.580418237693434,0.056,0.051,1
"ENSG00000064652",0.469385168005877,-0.555047557945516,0.01,0.008,1
"ENSG00000156113",0.471627580840801,-0.47122212677265,0.02,0.018,1
"ENSG00000163823",0.472557053436222,-0.323032167905521,0.049,0.045,1
"ENSG00000089248",0.473283588844684,-0.316890343917533,0.019,0.022,1
"ENSG00000198252",0.475228904935945,-0.643434552094595,0.01,0.011,1
"ENSG00000158092",0.47581716713656,-0.549874142690242,0.01,0.012,1
"ENSG00000182054",0.47595454064556,-0.173485132075789,0.016,0.019,1
"ENSG00000198087",0.478306855156179,0.140570765193698,0.01,0.011,1
"ENSG00000005020",0.478420855365521,-0.350657030797023,0.142,0.147,1
"ENSG00000113441",0.479653963568688,-0.520483806575221,0.03,0.033,1
"ENSG00000101191",0.480803008507857,-0.287606050588942,0.01,0.008,1
"ENSG00000149084",0.480835449327438,-1.06319446161584,0.014,0.016,1
"ENSG00000105281",0.482670218724994,-1.17886040230649,0.013,0.015,1
"ENSG00000010244",0.48555594067531,-0.606704611564967,0.077,0.081,1
"ENSG00000128829",0.489987644244201,-1.26954133482695,0.019,0.016,1
"ENSG00000070367",0.490231813692863,-0.799922906929555,0.017,0.014,1
"ENSG00000228224",0.490301725216223,-0.248258583611757,0.063,0.058,1
"ENSG00000123505",0.490380047543546,-0.663872776874472,0.033,0.03,1
"ENSG00000166801",0.494774603620795,-0.137953691617721,0.026,0.023,1
"ENSG00000196705",0.497172377208535,-1.00310011445232,0.008,0.01,1
